coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
2621,Er. Perumal Manimekalai College Of Engineering,171.965,FALSE,FALSE,64,Krishnagiri,FALSE,TRUE,FALSE
4864,V V College Of Engineering,171.935,FALSE,FALSE,64,Thoothukudi,FALSE,TRUE,FALSE
5907,Mohamed Sathak Engineering College,171.935,FALSE,FALSE,64,Ramanathapuram,FALSE,TRUE,FALSE
2349,Dhaanish Ahmed Institute Of Technology,160.045,FALSE,FALSE,70,Coimbatore,TRUE,TRUE,TRUE
1115,Sri Ram Engineering College,171.805,FALSE,FALSE,64,Thiruvallur,TRUE,TRUE,TRUE
1316,Agni College Of Technology,171.72,FALSE,FALSE,64,Chengalpattu,FALSE,TRUE,FALSE
3918,Shanmuganathan Engineering College,159.825,FALSE,FALSE,70,Pudukkottai,TRUE,TRUE,TRUE
5532,Vaigai College Of Engineering,171.505,FALSE,FALSE,64,Madurai,FALSE,TRUE,FALSE
3852,Sri Bharathi Engineering College For Women,158.955,FALSE,FALSE,71,Pudukkottai,TRUE,TRUE,TRUE
3817,Roever Engineering College,158.9,FALSE,FALSE,71,Perambalur,TRUE,TRUE,TRUE
1501,Adhiparasakthi College Of Engineering,171.035,FALSE,FALSE,64,Ranipet,FALSE,TRUE,FALSE
5832,N P R College Of Engineering And Technology,170.975,FALSE,FALSE,65,Dindigul,FALSE,TRUE,FALSE
2651,Jai Shriram Engineering College,170.925,FALSE,FALSE,65,Tiruppur,FALSE,TRUE,FALSE
1123,Gojan School Of Business And Technology,157.845,FALSE,FALSE,71,Chennai,TRUE,TRUE,TRUE
1303,Anand Institute Of Higher Technology,170.845,FALSE,FALSE,65,Chengalpattu,FALSE,TRUE,FALSE
1221,Jaya College Of Engineering And Technology,157.275,FALSE,FALSE,71,Chennai,TRUE,TRUE,TRUE
2661,Vivekanandha College Of Technology For Women,170.58,FALSE,FALSE,65,Namakkal,FALSE,TRUE,FALSE
5017,University College Of Engineering,170.5,FALSE,FALSE,65,Ramanathapuram,FALSE,TRUE,FALSE
4979,V.P.Muthaiah Pillai Meenakshi Ammal Engineering College For Women,170.49,FALSE,FALSE,65,Virudhunagar,FALSE,TRUE,FALSE
1416,Jaya Sakthi Engineering College,156.285,FALSE,FALSE,72,Chennai,TRUE,TRUE,TRUE
1520,Kingston Engineering College,170.22,FALSE,FALSE,65,Vellore,FALSE,TRUE,FALSE
2355,Cheran College Of Engineering,169.835,FALSE,FALSE,65,Karur,FALSE,TRUE,FALSE
3849,Annai College Of Engineering And Technology,155.99,FALSE,FALSE,72,Thanjavur,TRUE,TRUE,TRUE
2345,Dhirajlal Gandhi College Of Technology,169.5,FALSE,FALSE,65,Salem,FALSE,TRUE,FALSE
2707,Erode Sengunthar Engineering College (Autonomous),169.44,FALSE,FALSE,65,Erode,FALSE,TRUE,FALSE
4972,Amrita  College Of Engineering And Technology,169.33,FALSE,FALSE,65,Kanyakumari,FALSE,TRUE,FALSE
5502,Sree Raaja Raajan College Of Engineering & Technology,169.285,FALSE,FALSE,65,Sivagangai,FALSE,TRUE,FALSE
1408,I F E T College Of Engineering  (Autonomous),169.27,FALSE,FALSE,65,Villupuram,FALSE,TRUE,FALSE
4928,Mar Ephraem College Of Engineering & Technology,169.195,FALSE,FALSE,65,Kanyakumari,FALSE,TRUE,FALSE
2768,Park College Of Technology,155.75,FALSE,FALSE,72,Coimbatore,TRUE,TRUE,TRUE
1401,Adhiparasakthi Engineering College,169.065,FALSE,FALSE,65,Chengalpattu,FALSE,TRUE,FALSE
4966,Pet Engineering College,168.855,FALSE,FALSE,66,Tirunelveli,FALSE,TRUE,FALSE
2642,P S V College Of Engineeering And Technology,168.635,FALSE,FALSE,66,Krishnagiri,FALSE,TRUE,FALSE
1230,Apollo Engineering College,168.615,FALSE,FALSE,66,Kancheepuram,FALSE,TRUE,FALSE
2752,Nandha College Of Technology,168.46,FALSE,FALSE,66,Erode,FALSE,TRUE,FALSE
1518,Thiruvalluvar College Of Engineering And Technology,168.405,FALSE,FALSE,66,Thiruvannamalai,FALSE,TRUE,FALSE
2338,Asian College Of Engineering And Technology,155.065,FALSE,FALSE,72,Coimbatore,TRUE,TRUE,TRUE
1107,Jaya Institute Of Technology,168.35,FALSE,FALSE,66,Thiruvallur,TRUE,FALSE,FALSE
3857,Meenakshi Ramaswamy Engineering College,155.025,FALSE,FALSE,72,Ariyalur,TRUE,TRUE,TRUE
1137,Annai Mira College Of Engineering And Technology,168.24,FALSE,FALSE,66,Ranipet,FALSE,TRUE,FALSE
1511,Ranipettai Engineering College,168.165,FALSE,FALSE,66,Ranipet,FALSE,TRUE,FALSE
3410,Krishnaswamy Collge Of Engineering And Technology,167.915,FALSE,FALSE,66,Cuddalore,FALSE,TRUE,FALSE
2634,Excel Engineering College (Autonomous),167.71,FALSE,FALSE,66,Namakkal,FALSE,TRUE,FALSE
2302,Sri Shanmugha College Of Engineering And Technology,167.67,FALSE,FALSE,66,Salem,FALSE,TRUE,FALSE
2609,Mahendra Engineering College (Autonomous),167.64,FALSE,FALSE,66,Namakkal,FALSE,TRUE,FALSE
2356,Arulmurugan College Of Engineering,167.33,FALSE,FALSE,66,Karur,FALSE,TRUE,FALSE
4672,Stella Marys College Of Engineering,167.265,FALSE,FALSE,66,Kanyakumari,FALSE,TRUE,FALSE
1207,Kings Engineering College,167.07,FALSE,FALSE,66,Kancheepuram,FALSE,TRUE,FALSE
1126,J N N Institute Of Engineering,166.855,FALSE,FALSE,67,Thiruvallur,TRUE,TRUE,TRUE
4980,Einstein College Of Engineering,166.53,FALSE,FALSE,67,Tirunelveli,FALSE,TRUE,FALSE
4952,C S I Institute Of Technology,166.495,FALSE,FALSE,67,Kanyakumari,FALSE,TRUE,FALSE
1226,P T Lee Chengalvaraya Naicker College Of Engineering And Technology,166.185,FALSE,FALSE,67,Kancheepuram,FALSE,TRUE,FALSE
1412,Mailam Engineering College,166.175,FALSE,FALSE,67,Villupuram,FALSE,TRUE,FALSE
4931,Grace College Of Engineering,166.095,FALSE,FALSE,67,Thoothukudi,FALSE,TRUE,FALSE
5915,Sacs-M A V M M Engineering College,165.855,FALSE,FALSE,67,Madurai,FALSE,TRUE,FALSE
3855,As-Salam College Of Engineering And Technology,154.99,FALSE,FALSE,73,Thanjavur,TRUE,TRUE,TRUE
2332,Aishwarya College Of Engineering And Technology,165.69,FALSE,FALSE,67,Erode,FALSE,TRUE,FALSE
5913,R V S College Of Engineering,165.64,FALSE,FALSE,67,Dindigul,FALSE,TRUE,FALSE
2347,Avs College Of Technology,165.56,FALSE,FALSE,67,Salem,FALSE,TRUE,FALSE
2636,A V S Engineering College,165.48,FALSE,FALSE,67,Salem,FALSE,TRUE,FALSE
2614,S S M College Of Engineering,165.395,FALSE,FALSE,67,Namakkal,FALSE,TRUE,FALSE
4676,Renganayagi Varatharaj College Of Engineering,165.325,FALSE,FALSE,67,Virudhunagar,FALSE,TRUE,FALSE
4943,Satyam College Of Engineering And Technology,165.275,FALSE,FALSE,67,Kanyakumari,FALSE,TRUE,FALSE
4978,Udaya School Of Engineering,165.26,FALSE,FALSE,67,Kanyakumari,FALSE,TRUE,FALSE
2772,C M S College Of Engineering And Technology,153.5,FALSE,FALSE,73,Coimbatore,TRUE,TRUE,TRUE
5703,Christian College Of Engineering And Technology,165.14,FALSE,FALSE,67,Dindigul,FALSE,TRUE,FALSE
2643,Bharathiyar Institute Of Engineering For Women,164.88,FALSE,FALSE,68,Salem,FALSE,TRUE,FALSE
2648,Annaporna Engineering College,164.81,FALSE,FALSE,68,Salem,FALSE,TRUE,FALSE
4993,Loyola Institute Of Technology And Science,164.755,FALSE,FALSE,68,Kanyakumari,FALSE,TRUE,FALSE
